index	4	5	6	7	8	9	10	11
connectance	0.0675133689839572	0.0540010693281055	0.0760743321718931	0.0625947585011913	0.0766052129688493	0.0762768817204301	0.10894032703334	0.151515151515152
web asymmetry	-0.721518987341772	-0.707547169811321	-0.772972972972973	-0.853658536585366	-0.733333333333333	-0.823529411764706	-0.884353741496599	-0.855263157894737
links per species	1.27848101265823	1.42924528301887	1.41621621621622	1.56639566395664	1.46060606060606	1.66911764705882	1.74489795918367	1.54605263157895
number of compartments	3	3	1	2	3	2	1	1
compartment diversity	1.17552451431423	1.15812629046896	NA	1.0342590555492	1.13988012260305	1.06255885678458	NA	NA
cluster coefficient	0.0220588235294118	0.0276243093922652	0.0365853658536585	0.0146198830409357	0.0384615384615385	0.0241935483870968	0.0324909747292419	0.099290780141844
modularity Q	0.598139335051888	0.540678399786404	0.349811422413797	0.487359734486846	0.53016381521408	0.319805993222439	0.286830418441886	0.365624308797772
nestedness	7.01779215610206	3.80118832137949	4.40835368391706	3.01922774125158	5.60612211928687	3.37267652233614	5.27154294581828	12.4729052296262
NODF	12.6229208669501	12.4065780025851	23.9290287439595	21.9545584882449	15.7772933457591	33.7897589995215	36.7430713279936	30.4542777939964
weighted nestedness	0.499001224332322	0.59388982513516	0.696697517020647	0.785041826331828	0.579670072146908	0.814339740299215	0.817282321716321	0.683597753861059
weighted NODF	3.05208420869381	4.26417712350843	11.8110034812304	8.57866406925931	5.82635527495989	17.1330533572476	18.9291491046393	16.1983029187786
interaction strength asymmetry	-0.0915972256084897	-0.109092860645853	-0.142327182038459	-0.186662180858638	-0.161226341658732	-0.149351248429615	-0.170567061808511	-0.154723242740836
specialisation asymmetry	0.494464172916737	0.331495177692363	0.403909981062245	0.486222876161281	0.378219789070967	0.428767471669322	0.473716234918075	0.44753137338085
linkage density	10.7503078613645	12.0088151004353	16.9906092821395	31.7221656706161	13.6298463258212	27.1819041422245	24.9933907109436	19.674392356695
weighted connectance	0.0680399231731932	0.0566453542473365	0.0918411312548083	0.0859679286466562	0.0826051292474014	0.0999334711111194	0.0850115330304204	0.129436791820362
Fisher alpha	528.819127795097	474.790193211314	249.11191923982	594.806264451814	448.931523459469	353.692965709273	286.930983458912	229.948187397069
